autor,titulo,top_10_palabras
Aristoteles,"Política · libro segundo, capítulo VII","[{'creta': 4, 'cosas': 2, 'lacedemonia': 2, 'leyes': 2, 'constitución': 1, 'tiene': 1, 'muchos': 1, 'puntos': 1, 'contacto': 1, 'esparta': 1}, {'isla': 2, 'posición': 1, 'natural': 1, 'creta': 1, 'parece': 1, 'llamada': 1, 'dominar': 1, 'todos': 1, 'pueblos': 1, 'griegos': 1}, {'cosmos': 4, 'cretenses': 3, 'esparta': 2, 'creta': 2, 'son': 2, 'gerontes': 2, 'he': 1, 'aquí': 1, 'algunas': 1, 'analogías': 1}, {'comidas': 2, 'creta': 2, 'estado': 2, 'organización': 1, 'común': 1, 'está': 1, 'mejor': 1, 'dispuesta': 1, 'lacedemonia': 1, 'esparta': 1}, {'propósitos': 1, 'legislador': 1, 'son': 1, 'excelentes': 1, 'respecto': 1, 'ventajas': 1, 'templanza': 1, 'aislamiento': 1, 'mujeres': 1, 'cuya': 1}, {'cosmos': 4, 'esta': 4, 'institución': 3, 'éforos': 2, 'tiene': 2, 'son': 2, 'mérito': 2, 'creta': 2, 'lacedemonia': 2, 'pueblo': 2}, {'han': 3, 'cosmos': 3, 'esta': 3, 'ha': 3, 'constitución': 2, 'cretenses': 2, 'gobierno': 2, 'ciudadanos': 2, 'sublevan': 2, 'estado': 2}, {'diré': 1, 'gobierno': 1, 'creta': 1}]"
Aristoteles,"Política · libro segundo, capítulo VIII","[{'constitución': 2, 'cartago': 2, 'ha': 2, 'ni': 2, 'cartago58': 1, 'goza': 1, 'parecer': 1, 'todavía': 1, 'buena': 1, 'completa': 1}, {'reyes': 3, 'entre': 2, 'cartago': 2, 'parecen': 2, 'toma': 2, 'son': 2, 'citaré': 1, 'algunas': 1, 'analogías': 1, 'hay': 1}, {'todas': 4, 'son': 3, 'aristocrática': 2, 'lado': 2, 'decidir': 2, 'sólo': 2, 'caso': 2, 'puede': 2, 'puesto': 2, 'otras': 2}, {'principio': 4, 'aristocrático': 3, 'funciones': 3, 'distinguidos': 3, 'mérito': 3, 'magistrados': 3, 'ciudadanos': 3, 'gobierno': 2, 'cartago': 2, 'oligárquico': 2}, {'puede': 3, 'estado': 3, 'empleos': 2, 'cartago': 2, 'porque': 2, 'hombre': 2, 'dar': 2, 'solo': 2, 'legislador': 2, 'entonces': 2}, {'termino': 1, 'aquí': 1, 'examen': 1, 'constituciones': 1, 'justamente': 1, 'renombradas': 1, 'esparta': 1, 'creta': 1, 'cartago': 1}]"
Aristoteles,"Política · libro segundo, capítulo IX","[{'han': 5, 'entre': 2, 'sido': 2, 'mismos': 2, 'otros': 2, 'leyes': 2, 'hombres': 1, 'publicado': 1, 'sistema': 1, 'mejor': 1}, {'pueblo': 6, 'magistrados': 4, 'solón': 4, 'le': 3, 'democracia': 3, 'senado': 3, 'areópago': 3, 'elección': 3, 'poder': 3, 'destruido': 2}, {'carondas': 2, 'todas': 2, 'legislación': 2, 'había': 2, 'fue': 2, 'zaleuco': 2, 'zaleuco60': 1, 'dio': 1, 'leyes': 1, 'locrios': 1}, {'filolao': 4, 'tebas': 3, 'desde': 3, 'legislador': 2, 'era': 2, 'diocles': 2, 'corinto': 2, 'leyes': 2, 'corinto62': 1, 'fue': 1}, {'leyes': 4, 'son': 3, 'ley': 2, 'contra': 2, 'delitos': 2, 'mujeres': 2, 'embriaguez': 2, 'hizo': 2, 'gobierno': 2, 'él': 2}, {'tales': 1, 'son': 1, 'consideraciones': 1, 'nos': 1, 'ha': 1, 'sugerido': 1, 'examen': 1, 'constituciones': 1, 'existentes': 1, 'han': 1}]"
Aristoteles,"Política · libro tercero, capítulo primero","[{'estado': 7, 'muchas': 3, 'ciudadano': 3, 'son': 3, 'cuestión': 2, 'acto': 2, 'todos': 2, 'elementos': 2, 'ciudadanos': 2, 'veces': 2}, {'derecho': 5, 'ciudadanos': 5, 'son': 4, 'respecto': 4, 'ciudadano': 3, 'domicilio': 2, 'ser': 2, 'porque': 2, 'domiciliados': 2, 'puede': 2}, {'juez': 3, 'otra': 3, 'ciudadano': 2, 'magistraturas': 2, 'ser': 2, 'miembro': 2, 'asamblea': 2, 'pública': 2, 'poder': 2, 'aquellos': 2}, {'ciudadano': 4, 'donde': 4, 'constituciones': 3, 'toda': 2, 'sea': 2, 'primero': 2, 'relación': 2, 'constitución': 2, 'necesariamente': 2, 'todos': 2}, {'puede': 3, 'estado': 3, 'ciudadano': 2, 'miembro': 2, 'asamblea': 2, 'pública': 2, 'facultad': 2, 'definición': 1, 'debe': 1, 'modificarse': 1}, {'ciudadano': 4, 'nacido': 2, 'padre': 2, 'madre': 2, 'ciudadana': 2, 'definición': 2, 'sencilla': 2, 'saber': 2, 'ciudadanos': 2, 'lenguaje': 1}, {'ciudadanos': 4, 'son': 3, 'injustamente': 3, 'ciudadano': 3, 'podría': 2, 'clístenes': 2, 'cierto': 2, 'concepto': 2, 'poder': 2, 'razón': 1}, {'estado': 6, 'ha': 5, 'ciudad': 5, 'cuestión': 4, 'muchos': 3, 'debe': 3, 'emanado': 2, 'casos': 2, 'democracia': 2, 'oligarquía': 2}, {'estado': 5, 'mismos': 4, 'individuos': 3, 'cambia': 3, 'asociación': 3, 'constitución': 3, 'misma': 2, 'idéntico': 2, 'pesar': 2, 'identidad': 2}, {'cuestión': 1, 'distinta': 1, 'averiguar': 1, 'conviene': 1, 'seguida': 1, 'revolución': 1, 'cumplir': 1, 'compromisos': 1, 'contraídos': 1, 'romperlos': 1}]"
Aristoteles,"Política · libro tercero, capítulo II","[{'virtud': 3, 'ciudadano': 2, 'cuestión': 1, 'viene': 1, 'anterior': 1, 'saber': 1, 'hay': 1, 'identidad': 1, 'entre': 1, 'individuo': 1}, {'virtud': 5, 'ciudadano': 4, 'asociación': 3, 'todos': 3, 'estado': 3, 'cual': 2, 'claro': 2, 'común': 2, 'puede': 2, 'ser': 2}, {'virtud': 6, 'todos': 6, 'puede': 3, 'estado': 3, 'cual': 3, 'ciudadanos': 3, 'esta': 2, 'desde': 2, 'república': 2, 'perfecta': 2}, {'virtud': 2, 'cierto': 1, 'ciudadano': 1, 'tomada': 1, 'general': 1, 'son': 1, 'absolutamente': 1, 'idénticas': 1}, {'virtud': 2, 'hombre': 2, 'dicho': 2, 'quién': 1, 'podrá': 1, 'entonces': 1, 'reunir': 1, 'esta': 1, 'doble': 1, 'ciudadano': 1}, {'nada': 1, 'esas': 1, 'vanas': 1, 'habilidades': 1, 'son': 1, 'inútiles': 1, 'estado': 1}, {'ciudadano': 6, 'virtud': 5, 'saber': 4, 'puede': 3, 'mandar': 3, 'idéntica': 3, 'hombre': 3, 'obedecer': 3, 'ser': 3, 'aprender': 2}, {'ni': 4, 'ser': 3, 'hay': 2, 'exige': 2, 'demás': 2, 'esclavos': 2, 'son': 2, 'artesanos': 2, 'todos': 2, 'obreros': 2}, {'ciudadano': 5, 'hombre': 5, 'son': 4, 'ciencia': 4, 'virtud': 4, 'mujer': 4, 'mando': 3, 'prudencia': 3, 'obediencia': 2, 'consistiendo': 2}, {'virtud': 2, 'esta': 1, 'discusión': 1, 'ha': 1, 'tenido': 1, 'objeto': 1, 'ver': 1, 'punto': 1, 'política': 1, 'privada': 1}]"
Aristoteles,"Política · libro tercero, capítulo III","[{'ciudadanos': 12, 'ciudadano': 8, 'artesano': 5, 'ni': 5, 'todos': 5, 'son': 5, 'virtud': 4, 'puesto': 4, 'puede': 4, 'sólo': 4}, {'hay': 1, 'indudablemente': 1, 'diversas': 1, 'especies': 1, 'ciudadanos': 1, 'sólo': 1, 'plenamente': 1, 'tiene': 1, 'participación': 1, 'poderes': 1}, {'yo': 1, 'tratado': 1, 'vil': 1, 'extranjero': 1}, {'ciudad': 2, 'ojos': 1, 'extranjero': 1, '94': 1, 'participa': 1, 'funciones': 1, 'públicas': 1, 'donde': 1, 'tiene': 1, 'cuidado': 1}, {'hombre': 3, 'son': 3, 'virtud': 2, 'ciudadano': 2, 'toda': 1, 'discusión': 1, 'precedente': 1, 'ha': 1, 'demostrado': 1, 'idénticas': 1}]"
Aristoteles,"Política · libro tercero, capítulo IV","[{'todas': 3, 'muchas': 2, 'constituciones': 2, 'son': 2, 'constitución': 2, 'soberano': 2, 'gobierno': 2, 'fijados': 1, 'estos': 1, 'puntos': 1}, {'ella': 3, 'fin': 2, 'hemos': 2, 'naturaleza': 2, 'hombres': 2, 'esto': 2, 'particular': 2, 'amor': 2, 'aquí': 1, 'preciso': 1}, {'poder': 7, 'todos': 5, 'objeto': 3, 'interés': 3, 'esclavo': 3, 'ventaja': 3, 'son': 2, 'aquéllos': 2, 'tiene': 2, 'fin': 2}, {'todas': 2, 'constituciones': 2, 'interés': 2, 'son': 2, 'evidentemente72': 1, 'hechas': 1, 'vista': 1, 'general': 1, 'puras': 1, 'porque': 1}, {'constituciones': 3, 'principios': 1, 'acabamos': 1, 'sentar': 1, 'podemos': 1, 'examinar': 1, 'número': 1, 'naturaleza': 1, 'nos': 1, 'ocuparemos': 1}]"
Aristoteles,"Política · libro tercero, capítulo V","[{'sea': 4, 'constitución': 3, 'minoría': 3, 'siendo': 2, 'cosas': 2, 'gobierno': 2, 'multitud': 2, 'ciudadanos': 2, 'gobiernan': 2, 'interés': 2}, {'gobierno': 4, 'le': 3, 'llama': 3, 'mayoría': 3, 'virtud': 3, 'tiene': 2, 'interés': 2, 'general': 2, 'minoría': 2, 'individuo': 2}, {'interés': 3, 'estos': 2, 'gobiernos': 2, 'tiranía': 2, 'oligarquía': 2, 'demagogia': 2, 'sólo': 2, 'tiene': 2, 'desviaciones': 1, 'son': 1}, {'ningún': 2, 'indispensable': 1, 'nos': 1, 'detengamos': 1, 'algunos': 1, 'instantes': 1, 'notar': 1, 'naturaleza': 1, 'propia': 1, 'estos': 1}, {'ricos': 10, 'mayoría': 9, 'minoría': 9, 'pobres': 8, 'oligarquía': 5, 'gobierno': 4, 'demagogia': 4, 'estado': 4, 'son': 4, 'riqueza': 3}, {'derecho': 8, 'son': 5, 'punto': 3, 'unos': 3, 'otros': 3, 'igualdad': 3, 'iguales': 3, 'creen': 3, 'partes': 2, 'cierto': 2}, {'asociación': 8, 'sólo': 7, 'ciudad': 7, 'entre': 6, 'relaciones': 6, 'política': 5, 'ser': 5, 'estado': 4, 'esto': 4, 'virtud': 4}, {'embargo': 3, 'todas': 3, 'estado': 3, 'asociación': 3, 'ciudadanos': 2, 'estas': 2, 'instituciones': 2, 'común': 2, 'fin': 2, 'política': 2}, {'ni': 2, 'puedo': 1, 'concluir': 1, 'dicho': 1, 'evidentemente': 1, 'formular': 1, 'ricos': 1, 'pobres': 1, 'opiniones': 1, 'tan': 1}]"
Aristoteles,"Política · libro tercero, capítulo VI","[{'estado': 3, 'puede': 2, 'ricos': 2, 'porque': 2, 'mayoría': 2, 'bienes': 2, 'injusticia': 2, 'derecho': 2, 'haya': 2, 'problema': 1}, {'será': 3, 'tirano': 2, 'justo': 2, 'pobres': 2, 'ricos': 2, 'principio': 1, 'haga': 1, 'necesariamente': 1, 'empleará': 1, 'violencia': 1}, {'ve': 1, 'resulta': 1, 'todos': 1, 'lados': 1, 'otra': 1, 'cosa': 1, 'crímenes': 1, 'e': 1, 'iniquidades': 1}, {'soberanía': 3, 'todos': 2, 'ciudadanos': 2, 'demás': 2, 'poder': 2, 'mejor': 2, 'hombre': 2, 'ley': 2, 'siempre': 2, 'sea': 2}, {'otra': 1, 'volveremos': 1, 'tratar': 1, 'punto': 1}, {'multitud': 6, 'hombres': 5, 'puede': 3, 'reunión': 3, 'difiere': 3, 'cuerpo': 3, 'distinguidos': 2, 'parecer': 2, 'todas': 2, 'mayoría': 2}, {'otros': 4, 'hombres': 3, 'masa': 3, 'cosas': 2, 'ciudadanos': 2, 'funciones': 2, 'estado': 2, 'individuos': 2, 'derecho': 2, 'estas': 1}, {'puede': 3, 'médico': 3, 'todas': 3, 'trata': 2, 'juzgar': 2, 'acudir': 2, 'demás': 2, 'artes': 2, 'ciencia': 2, 'principio': 1}, {'mejor': 5, 'multitud': 3, 'puede': 3, 'cosas': 3, 'ni': 3, 'magistrados': 2, 'misma': 2, 'objeción': 2, 'elegir': 2, 'escoger': 2}, {'estas': 1, 'consideraciones': 1, 'son': 1, 'suficientes': 1, 'contestar': 1, 'primera': 1, 'objeción': 1}, {'he': 2, 'ciudadanos': 2, 'asamblea': 2, 'censo': 2, 'aquí': 1, 'otra': 1, 'tiene': 1, 'relación': 1, 'anterior': 1, 'hay': 1}, {'leyes': 5, 'son': 4, 'esta': 3, 'gobiernos': 3, 'forma': 2, 'individuo': 2, 'juez': 2, 'senador': 2, 'miembro': 2, 'asamblea': 2}]"
Aristoteles,"Política · libro tercero, capítulo VII","[{'todas': 3, 'política': 3, 'justicia': 3, 'igualdad': 3, 'ciencias': 2, 'fin': 2, 'debe': 2, 'esta': 2, 'acuerdo': 2, 'aplica': 2}, {'otra': 3, 'él': 3, 'poder': 2, 'político': 2, 'demás': 2, 'perfectamente': 2, 'iguales': 2, 'ser': 2, 'individuos': 2, 'superior': 2}, {'porque': 5, 'talla': 5, 'otros': 4, 'estado': 4, 'virtud': 3, 'estos': 3, 'unos': 3, 'son': 3, 'todos': 3, 'podría': 2}, {'porque': 4, 'son': 3, 'todos': 3, 'tienen': 3, 'además': 2, 'igualdad': 2, 'desigualdad': 2, 'entre': 2, 'sí': 2, 'gobiernos': 2}, {'soberanía': 6, 'multitud': 5, 'todos': 5, 'estado': 4, 'debe': 4, 'sí': 4, 'objeción': 4, 'individuo': 4, 'distinguidos': 3, 'puede': 3}]"
Aristoteles,"Política · libro tercero, capítulo VIII","[{'política': 3, 'igualdad': 3, 'porque': 3, 'son': 3, 'le': 3, 'individuo': 2, 'quiere': 2, 'ciudad': 2, 'mérito': 2, 'todos': 2}, {'él': 2, 'poder': 2, 'pueblos': 2, 'expediente': 1, 'útil': 1, 'solamente': 1, 'tiranos': 1, 'son': 1, 'únicos': 1, 'aprovechan': 1}, {'gobiernos': 3, 'interesa': 2, 'aun': 2, 'emplean': 2, 'interés': 2, 'otras': 2, 'pie': 2, 'resto': 2, 'esta': 1, 'cuestión': 1}, {'ostracismo': 2, 'legislador': 2, 'han': 2, 'ha': 2, 'principios': 1, 'aplicados': 1, 'superioridades': 1, 'reconocidas': 1, 'carecen': 1, 'completo': 1}, {'esto': 2, 'superioridad': 2, 'puede': 2, 'preciso': 2, 'gobiernos': 1, 'corrompidos': 1, 'ostracismo': 1, 'sirve': 1, 'interés': 1, 'particular': 1}]"
Aristoteles,"Política · libro tercero, capítulo IX","[{'reinado': 4, 'nos': 2, 'entre': 2, 'ser': 2, 'rey': 2, 'gobierno': 2, 'son': 2, 'militares': 2, 'derecho': 2, 'consideraciones': 1}, {'le': 2, 'entonces': 1, 'encuentro': 1, 'cerca': 1, 'mis': 1, 'naves': 1, 'arrojo': 1, 'echo': 1, 'perros': 1, 'aves': 1}, {'esta': 1, 'primera': 1, 'especie': 1, 'reinado': 1, 'generalato': 1, 'vitalicio': 1, 'puede': 1, 'ser': 1, 'hereditario': 1, 'electivo': 1}, {'entre': 4, 'guardia': 4, 'pueblos': 3, 'ciudadanos': 3, 'bárbaros': 2, 'he': 2, 'aquí': 2, 'estos': 2, 'son': 2, 'tienen': 2}, {'antiguos': 2, 'tiranía': 2, 'reinado': 2, 'esimenetas': 2, 'poder': 2, 'alceo': 2, 'pitaco': 2, 'peso': 2, 'estas': 1, 'dos': 1}, {'reyes': 4, 'reinado': 2, 'tiempos': 2, 'estas': 2, 'pueblos': 2, 'poder': 2, 'estos': 2, 'mando': 2, 'todos': 2, 'sacrificios': 2}, {'reinado': 5, 'cuatro': 2, 'dispone': 2, 'familia': 2, 'hemos': 1, 'reconocido': 1, 'clases': 1, 'tiempos': 1, 'heroicos': 1, 'libremente': 1}]"
Aristoteles,"Política · libro tercero, capítulo X","[{'dos': 3, 'reinado': 3, 'útil': 2, 'funesto': 2, 'estado': 2, 'nosotros': 1, 'realmente': 1, 'sólo': 1, 'debemos': 1, 'considerar': 1}, {'constitución': 2, 'todas': 2, 'reinado': 2, 'cuestión': 1, 'generalato': 1, 'género': 1, 'asunto': 1, 'propio': 1, 'leyes': 1, 'reglamentarias': 1}, {'mayoría': 10, 'ley': 8, 'individuo': 6, 'todos': 6, 'esta': 5, 'puede': 5, 'casos': 5, 'sea': 5, 'reinado': 4, 'gobierno': 4}, {'debe': 4, 'rey': 4, 'esta': 4, 'fuerza': 4, 'será': 3, 'preguntaremos': 2, 'reinado': 2, 'ser': 2, 'suerte': 2, 'han': 2}]"
Aristoteles,"Política · libro tercero, capítulo XI","[{'iguales': 4, 'menos': 3, 'reinado': 2, 'puede': 2, 'le': 2, 'gobierno': 2, 'puesto': 2, 'donde': 2, 'solo': 2, 'seres': 2}, {'ley': 4, 'poder': 2, 'todos': 2, 'porque': 2, 'debe': 2, 'justo': 1, 'participación': 1, 'obediencia': 1, 'sea': 1, 'perfectamente': 1}, {'ley': 6, 'ha': 5, 'poder': 5, 'leyes': 4, 'aún': 3, 'hombre': 3, 'hombres': 3, 'médico': 3, 'otros': 3, 'individuo': 2}, {'dos': 1, 'bravos': 1, 'compañeros': 1, 'marchan': 1, 'juntos': 1, '88': 1}, {'súplica': 1, 'hace': 1, 'agamenón': 1, 'pide': 1, 'cielo': 1}, {'diez': 1, 'consejeros': 1, 'sabios': 1, 'néstor': 1, '89': 1}, {'amigos': 5, 'ley': 4, 'dos': 4, 'puede': 3, 'sea': 3, 'poder': 3, 'magistrados': 2, 'juez': 2, 'casos': 2, 'sólo': 2}, {'tales': 1, 'son': 1, 'menos': 1, 'objeciones': 1, 'hacen': 1, 'reinado': 1}, {'son': 3, 'poder': 3, 'mientras': 2, 'justo': 2, 'útil': 2, 'leyes': 2, 'hombre': 2, 'sea': 2, 'tan': 2, 'unas': 1}, {'pueblo': 4, 'aquel': 3, 'monárquico': 2, 'aristocrático': 2, 'republicano': 2, 'naturalmente': 2, 'puede': 2, 'soportar': 2, 'autoridad': 2, 'política': 2}, {'sea': 3, 'virtud': 3, 'esta': 3, 'raza': 2, 'aunque': 2, 'individuo': 2, 'superior': 2, 'demás': 2, 'justo': 2, 'poder': 2}, {'pongamos': 1, 'aquí': 1, 'fin': 1, 'estudio': 1, 'reinado': 1, 'expuesto': 1, 'diversas': 1, 'especies': 1, 'ventajas': 1, 'peligros': 1}]"
Aristoteles,"Política · libro tercero, capítulo XII","[{'virtud': 3, 'estado': 2, 'menos': 2, 'mismas': 2, 'hombre': 2, 'forman': 2, 'constituciones': 1, 'hemos': 1, 'reconocido': 1, 'buenas': 1}, {'sentado': 1, 'esto': 1, 'veamos': 1, 'tratar': 1, 'república': 1, 'perfecta': 1, 'naturaleza': 1, 'medios': 1, 'establecerla': 1, 'quiere': 1}]"
Aristoteles,"Política · libro cuarto{92}, capítulo primero","[{'bienes': 6, 'perfecta': 3, 'cuál': 3, 'género': 3, 'todos': 3, 'gobierno': 2, 'porque': 2, 'felicidad': 2, 'punto': 2, 'nadie': 2}, {'bienes': 3, 'hombres': 2, 'mediante': 2, 'exteriores': 2, 'son': 2, 'estos': 2, 'tan': 2, 'insaciables': 1, 'les': 1, 'diremos': 1}, {'bienes': 6, 'son': 5, 'alma': 5, 'exteriores': 4, 'cosas': 4, 'felicidad': 4, 'nos': 3, 'respecto': 3, 'relación': 3, 'estado': 3}, {'daremos': 1, 'extensión': 1, 'estas': 1, 'ideas': 1, 'preliminares': 1, 'era': 1, 'imposible': 1, 'dejáramos': 1, 'tocar': 1, 'aquí': 1}]"
Aristoteles,"Política · libro cuarto, capítulo II","[{'estado': 5, 'felicidad': 4, 'individuo': 3, 'nos': 2, 'elementos': 2, 'idénticos': 2, 'todos': 2, 'son': 2, 'completamente': 2, 'dichoso': 2}, {'leyes': 6, 'virtud': 5, 'estado': 3, 'mejor': 3, 'felicidad': 3, 'ser': 3, 'fin': 3, 'política': 3, 'algunos': 3, 'partidarios': 3}, {'ni': 6, 'estado': 4, 'poder': 4, 'todos': 4, 'sólo': 4, 'sino': 3, 'leyes': 3, 'ser': 3, 'sí': 3, 'demás': 3}]"
Aristoteles,"Política · libro cuarto, capítulo III","[{'hombre': 4, 'libre': 3, 'esclavo': 3, 'hemos': 2, 'debe': 2, 'virtud': 2, 'empleo': 2, 'opiniones': 2, 'toda': 2, 'porque': 2}, {'ser': 5, 'preciso': 4, 'acción': 4, 'poder': 3, 'debe': 3, 'porque': 3, 'supremo': 3, 'entre': 3, 'hay': 3, 'puede': 3}, {'fin': 1, 'supremo': 1, 'necesariamente': 1, 'individuo': 1, 'hombres': 1, 'reunidos': 1, 'estado': 1, 'general': 1}]"
Aristoteles,"Política · libro cuarto, capítulo IV","[{'gobierno': 2, 'deben': 2, 'estado': 2, 'número': 2, 'extensión': 2, 'materia': 2, 'preliminares': 1, 'acabamos': 1, 'desenvolver': 1, 'consideraciones': 1}, {'estado': 10, 'ciudad': 10, 'número': 7, 'puede': 7, 'extensión': 5, 'necesariamente': 5, 'multitud': 5, 'ser': 4, 'preciso': 4, 'grande': 4}]"
Aristoteles,"Política · libro cuarto, capítulo V","[{'territorio': 3, 'estado': 2, 'punto': 2, 'independencia': 2, 'porque': 2, 'ha': 2, 'hombres': 2, 'principios': 1, 'acabamos': 1, 'indicar': 1}, {'mar': 5, 'fácil': 4, 'territorio': 3, 'sea': 3, 'debe': 2, 'difícil': 2, 'emplazamiento': 2, 'ciudad': 2, 'tierra': 2, 'puntos': 2}, {'ciudad': 4, 'debe': 3, 'sí': 2, 'jamás': 2, 'todas': 2, 'algunos': 2, 'puerto': 2, 'esta': 2, 'mar': 1, 'permite': 1}, {'ciudad': 4, 'debe': 3, 'ser': 3, 'mar': 3, 'fuerzas': 2, 'estado': 2, 'tierra': 2, 'existencia': 2, 'esta': 2, 'gentes': 2}, {'llevaré': 1, 'adelante': 1, 'estas': 1, 'consideraciones': 1, 'territorio': 1, 'estado': 1, 'puertos': 1, 'ciudades': 1, 'relación': 1, 'mar': 1}]"
Aristoteles,"Política · libro cuarto, capítulo VI","[{'corazón': 5, 'inteligencia': 4, 'pueblos': 3, 'son': 3, 'cualidades': 2, 'puede': 2, 'grecia': 2, 'conquistar': 2, 'valor': 2, 'decirse': 2}, {'oh': 1, 'corazón': 1, 'mío': 1, 'amigo': 1, 'te': 1, 'ultraja': 1}, {'porque': 2, 'todos': 1, 'hombres': 1, 'amor': 1, 'libertad': 1, 'dominación': 1, 'principio': 1, 'corazón': 1, 'imperioso': 1, 'sabe': 1}, {'lucha': 1, 'entre': 1, 'hermanos': 1, 'encarnizada': 1}, {}, {'quiere': 1, 'exceso': 1, 'sabe': 1, 'aborrecer': 1, 'modo': 1}, {'nos': 2, 'especificar': 1, 'respecto': 1, 'ciudadanos': 1, 'cuáles': 1, 'deben': 1, 'ser': 1, 'número': 1, 'cualidades': 1, 'naturales': 1}]"
Aristoteles,"Política · libro cuarto, capítulo VII","[{'entre': 6, 'elementos': 4, 'ciudad': 4, 'tiene': 4, 'otra': 4, 'común': 4, 'hay': 3, 'propiedad': 3, 'virtud': 3, 'todos': 2}, {'ciudad': 2, 'veamos': 1, 'cuántos': 1, 'elementos': 1, 'son': 1, 'indispensables': 1, 'existencia': 1, 'porque': 1, 'estará': 1, 'constituida': 1}, {'fin': 2, 'enumeremos': 1, 'cosas': 1, 'mismas': 1, 'ilustrar': 1, 'cuestión': 1, 'subsistencias': 1, 'artes': 1, 'indispensables': 1, 'tiene': 1}, {'agregación': 3, 'ciudad': 2, 'cualquiera': 2, 'todas': 2, 'necesidades': 2, 'necesita': 2, 'tales': 1, 'son': 1, 'cosas': 1, 'ella': 1}]"
Aristoteles,"Política · libro cuarto, capítulo VIII","[{'todos': 5, 'funciones': 3, 'ciudadanos': 3, 'son': 2, 'indistintamente': 2, 'sentado': 1, 'principios': 1, 'tenemos': 1, 'aún': 1, 'examinar': 1}, {'virtud': 4, 'toda': 3, 'deben': 3, 'separadas': 3, 'gobierno': 2, 'felicidad': 2, 'esta': 2, 'ciudadanos': 2, 'dos': 2, 'funciones': 2}, {'ciudadanos': 3, 'clases': 2, 'tiene': 2, 'virtud': 2, 'esta': 1, 'misma': 1, 'razón': 1, 'bienes': 1, 'raíces': 1, 'deben': 1}, {'ciudadanos': 2, 'fin': 1, 'elementos': 1, 'ciudad': 1, 'resta': 1, 'hablemos': 1, 'pontífices': 1, 'cuya': 1, 'posición': 1, 'estado': 1}, {'son': 2, 'estado': 2, 'componen': 2, 'clase': 2, 'tales': 1, 'pues': 1, 'elementos': 1, 'indispensables': 1, 'existencia': 1, 'partes': 1}]"
Aristoteles,"Política · libro cuarto, capítulo IX","[{'entre': 5, 'esta': 4, 'ítalo': 3, 'demás': 2, 'hoy': 2, 'creta': 2, 'leyes': 2, 'comidas': 2, 'común': 2, 'antiguo': 2}, {'han': 4, 'pues': 2, 'egipto': 2, 'debido': 2, 'instituciones': 2, 'misma': 2, 'ha': 2, 'comidas': 1, 'común': 1, 'tuvieron': 1}, {'hemos': 5, 'dos': 4, 'territorio': 3, 'algunos': 3, 'ciudadanos': 3, 'común': 3, 'todos': 3, 'debe': 3, 'frontera': 3, 'esclavos': 3}]"
Aristoteles,"Política · libro cuarto, capítulo X","[{'aguas': 5, 'ciudad': 4, 'debe': 3, 'ser': 3, 'caso': 3, 'cuanto': 2, 'puntos': 2, 'hemos': 2, 'situación': 2, 'cosas': 2}, {'murallas': 6, 'ciudad': 5, 'cuanto': 3, 'preciso': 3, 'ciudades': 3, 'valor': 3, 'han': 3, 'medios': 2, 'según': 2, 'esto': 2}, {'tales': 1, 'son': 1, 'principios': 1, 'pueden': 1, 'adoptar': 1, 'relativamente': 1, 'situación': 1, 'utilidad': 1, 'murallas': 1}]"
Aristoteles,"Política · libro cuarto, capítulo XI","[{'plaza': 4, 'magistrados': 3, 'será': 3, 'esta': 3, 'ella': 3, 'edad': 3, 'sea': 2, 'preciso': 2, 'todos': 2, 'estará': 2}, {'plaza': 3, 'pontífices': 2, 'magistrados': 2, 'conveniente': 2, 'comidas': 2, 'encargados': 2, 'debe': 2, 'todas': 2, 'puesto': 1, 'cuerpo': 1}, {'campo': 2, 'todas': 1, 'divisiones': 1, 'urbanas': 1, 'acabamos': 1, 'enumerar': 1, 'deberán': 1, 'hacerse': 1, 'igualmente': 1, 'cantones': 1}, {'nos': 2, 'inútil': 1, 'detengamos': 1, 'pormenores': 1, 'minuciosos': 1, 'esta': 1, 'materia': 1, 'puesto': 1, 'son': 1, 'todas': 1}]"
Aristoteles,"Política · libro cuarto, capítulo XII","[{'fin': 6, 'virtud': 6, 'felicidad': 5, 'sólo': 4, 'tienen': 4, 'bienes': 4, 'bienestar': 3, 'estado': 3, 'dos': 3, 'condiciones': 3}, {'acabamos': 1, 'resulta': 1, 'evidentemente': 1, '151': 1, 'legislador': 1, 'debe': 1, 'antemano': 1, 'ciertos': 1, 'elementos': 1, 'obra': 1}, {'todos': 5, 'estado': 4, 'virtud': 4, 'azar': 3, 'ciudadanos': 2, 'gobierno': 2, 'nos': 1, 'ha': 1, 'sido': 1, 'preciso': 1}, {'naturaleza': 6, 'hábito': 3, 'razón': 3, 'preciso': 3, 'cosas': 2, 'pueden': 2, 'hombre': 2, 'animales': 2, 'condiciones': 2, 'costumbres': 2}]"
